0,1,2,3
59.0,53.0,11.0,2.0
93.0,59.0,7.0,1.0
65.0,53.0,6.0,1.0
65.0,73.0,3.0,0.0
76.0,103.0,10.0,-1.0
51.0,65.0,9.0,1.0
93.0,96.0,17.0,-1.0
124.0,152.0,9.0,1.0
127.0,70.0,8.0,-0.0
114.0,80.0,17.0,1.0
101.0,85.0,10.0,2.0
117.0,90.0,9.0,1.0
85.0,65.0,13.0,2.0
79.0,50.0,9.0,2.0
71.0,59.0,12.0,1.0
75.0,46.0,8.0,0.0
75.0,22.0,11.0,1.0
59.0,26.0,10.0,0.0
60.0,24.0,8.0,0.0
59.0,28.0,8.0,0.0
55.0,51.0,9.0,1.0
80.0,50.0,7.0,-0.0
62.0,66.0,7.0,0.0
69.0,80.0,10.0,1.0
76.0,59.0,6.0,1.0
94.0,64.0,10.0,1.0
80.0,50.0,3.0,2.0
79.0,114.0,8.0,0.0
71.0,79.0,15.0,-0.0
56.0,66.0,6.0,0.0
75.0,86.0,14.0,-1.0
112.0,157.0,12.0,1.0
124.0,51.0,7.0,0.0
119.0,72.0,13.0,2.0
95.0,98.0,11.0,0.0
117.0,77.0,10.0,0.0
92.0,66.0,11.0,3.0
70.0,55.0,11.0,2.0
69.0,40.0,8.0,-0.0
72.0,13.0,11.0,1.0
58.0,26.0,11.0,0.0
70.0,26.0,8.0,-0.0
62.0,25.0,8.0,0.0
67.0,40.0,8.0,1.0
69.0,59.0,6.0,-0.0
69.0,52.0,8.0,0.0
78.0,66.0,11.0,0.0
68.0,67.0,9.0,0.0
71.0,81.0,12.0,2.0
91.0,36.0,9.0,1.0
75.0,73.0,4.0,1.0
43.0,73.0,9.0,0.0
68.0,82.0,12.0,0.0
68.0,61.0,7.0,1.0
74.0,89.0,14.0,-0.0
108.0,161.0,13.0,1.0
118.0,46.0,8.0,0.0
109.0,98.0,11.0,1.0
93.0,86.0,9.0,-1.0
101.0,60.0,9.0,1.0
75.0,64.0,9.0,2.0
70.0,23.0,7.0,2.0
65.0,5.0,12.0,1.0
56.0,22.0,11.0,-0.0
64.0,24.0,8.0,-0.0
62.0,30.0,7.0,-0.0
64.0,37.0,8.0,1.0
70.0,53.0,5.0,0.0
65.0,62.0,8.0,0.0
79.0,51.0,11.0,0.0
82.0,56.0,8.0,1.0
71.0,84.0,9.0,1.0
70.0,45.0,10.0,2.0
100.0,74.0,11.0,1.0
74.0,41.0,7.0,1.0
78.0,79.0,6.0,1.0
64.0,89.0,11.0,-1.0
50.0,65.0,7.0,1.0
71.0,65.0,12.0,-1.0
105.0,132.0,9.0,0.0
100.0,41.0,8.0,0.0
68.0,60.0,13.0,1.0
62.0,85.0,4.0,1.0
100.0,78.0,9.0,2.0
65.0,30.0,6.0,2.0
62.0,-2.0,10.0,2.0
54.0,3.0,13.0,-0.0
64.0,28.0,8.0,-0.0
65.0,31.0,8.0,0.0
66.0,35.0,9.0,1.0
70.0,48.0,6.0,-0.0
65.0,55.0,8.0,0.0
73.0,66.0,10.0,1.0
78.0,44.0,8.0,-0.0
97.0,73.0,10.0,1.0
83.0,74.0,9.0,1.0
89.0,79.0,11.0,1.0
96.0,78.0,10.0,1.0
85.0,51.0,3.0,3.0
64.0,108.0,8.0,0.0
75.0,85.0,15.0,-0.0
68.0,75.0,7.0,1.0
69.0,53.0,13.0,-0.0
81.0,131.0,10.0,0.0
98.0,26.0,4.0,1.0
51.0,49.0,9.0,1.0
72.0,94.0,10.0,1.0
82.0,53.0,11.0,1.0
55.0,-6.0,8.0,3.0
59.0,-5.0,9.0,1.0
55.0,18.0,8.0,-0.0
56.0,32.0,9.0,-0.0
72.0,39.0,9.0,1.0
70.0,48.0,5.0,-1.0
72.0,56.0,8.0,0.0
65.0,59.0,9.0,1.0
77.0,52.0,9.0,1.0
88.0,58.0,9.0,1.0
89.0,70.0,9.0,1.0
80.0,85.0,10.0,0.0
73.0,74.0,12.0,2.0
100.0,34.0,9.0,2.0
62.0,61.0,7.0,1.0
81.0,78.0,10.0,-0.0
72.0,93.0,11.0,0.0
58.0,57.0,8.0,1.0
54.0,56.0,12.0,-1.0
79.0,113.0,6.0,1.0
64.0,19.0,6.0,1.0
51.0,70.0,8.0,1.0
54.0,79.0,10.0,0.0
65.0,21.0,8.0,2.0
51.0,-4.0,8.0,1.0
53.0,14.0,8.0,0.0
60.0,5.0,8.0,-0.0
65.0,39.0,9.0,0.0
72.0,52.0,6.0,-0.0
75.0,57.0,7.0,0.0
68.0,59.0,9.0,1.0
74.0,47.0,8.0,0.0
91.0,67.0,9.0,1.0
82.0,56.0,8.0,1.0
94.0,79.0,11.0,1.0
77.0,82.0,12.0,2.0
81.0,48.0,9.0,2.0
94.0,74.0,11.0,1.0
77.0,51.0,7.0,1.0
80.0,78.0,6.0,1.0
78.0,80.0,12.0,0.0
63.0,76.0,7.0,1.0
51.0,42.0,8.0,-1.0
70.0,82.0,6.0,1.0
57.0,10.0,5.0,1.0
38.0,30.0,10.0,1.0
38.0,39.0,8.0,1.0
55.0,16.0,8.0,2.0
41.0,13.0,6.0,2.0
57.0,5.0,7.0,1.0
59.0,26.0,9.0,0.0
62.0,51.0,7.0,-0.0
72.0,62.0,8.0,0.0
71.0,62.0,9.0,1.0
74.0,44.0,8.0,0.0
86.0,61.0,8.0,1.0
71.0,63.0,8.0,1.0
93.0,65.0,10.0,0.0
96.0,81.0,12.0,1.0
86.0,73.0,8.0,1.0
83.0,74.0,12.0,2.0
96.0,64.0,11.0,1.0
83.0,47.0,6.0,2.0
59.0,79.0,9.0,1.0
79.0,89.0,11.0,0.0
67.0,68.0,8.0,1.0
43.0,38.0,8.0,-0.0
59.0,67.0,5.0,1.0
46.0,3.0,3.0,1.0
26.0,28.0,6.0,2.0
43.0,37.0,11.0,0.0
47.0,31.0,7.0,1.0
49.0,27.0,6.0,2.0
66.0,24.0,7.0,1.0
67.0,42.0,7.0,-0.0
68.0,53.0,9.0,0.0
71.0,56.0,9.0,1.0
71.0,46.0,8.0,0.0
85.0,61.0,8.0,1.0
73.0,53.0,7.0,1.0
89.0,74.0,10.0,0.0
84.0,71.0,11.0,1.0
93.0,67.0,8.0,1.0
83.0,91.0,11.0,1.0
78.0,68.0,11.0,2.0
105.0,61.0,10.0,1.0
68.0,54.0,9.0,1.0
85.0,65.0,8.0,1.0
69.0,76.0,9.0,-0.0
58.0,58.0,6.0,1.0
48.0,36.0,7.0,1.0
65.0,51.0,3.0,2.0
41.0,15.0,1.0,1.0
39.0,32.0,8.0,1.0
43.0,34.0,9.0,-0.0
46.0,36.0,7.0,1.0
48.0,33.0,7.0,1.0
71.0,44.0,6.0,0.0
59.0,48.0,7.0,0.0
69.0,64.0,9.0,1.0
72.0,49.0,9.0,0.0
84.0,58.0,8.0,1.0
68.0,54.0,8.0,1.0
89.0,66.0,9.0,0.0
87.0,73.0,10.0,1.0
90.0,60.0,7.0,1.0
99.0,76.0,11.0,1.0
90.0,76.0,11.0,1.0
92.0,67.0,10.0,2.0
80.0,63.0,11.0,1.0
81.0,59.0,7.0,1.0
84.0,79.0,6.0,1.0
66.0,68.0,9.0,0.0
68.0,62.0,7.0,1.0
51.0,32.0,5.0,1.0
60.0,40.0,4.0,1.0
46.0,13.0,5.0,0.0
43.0,28.0,6.0,1.0
39.0,21.0,6.0,-1.0
52.0,37.0,8.0,1.0
56.0,50.0,6.0,0.0
69.0,54.0,6.0,1.0
61.0,49.0,9.0,1.0
75.0,44.0,8.0,0.0
88.0,57.0,8.0,1.0
74.0,57.0,7.0,1.0
93.0,65.0,9.0,0.0
88.0,70.0,10.0,1.0
84.0,60.0,8.0,1.0
90.0,71.0,9.0,1.0
98.0,67.0,11.0,1.0
94.0,82.0,11.0,1.0
73.0,69.0,11.0,2.0
89.0,66.0,9.0,1.0
83.0,67.0,8.0,1.0
77.0,65.0,7.0,1.0
71.0,73.0,8.0,1.0
55.0,40.0,7.0,1.0
51.0,37.0,5.0,1.0
62.0,31.0,6.0,0.0
47.0,35.0,5.0,1.0
51.0,22.0,5.0,-0.0
50.0,30.0,8.0,1.0
58.0,51.0,7.0,0.0
64.0,48.0,7.0,1.0
71.0,49.0,8.0,1.0
74.0,43.0,8.0,0.0
81.0,63.0,8.0,1.0
73.0,56.0,8.0,1.0
91.0,65.0,9.0,0.0
84.0,74.0,10.0,1.0
87.0,52.0,7.0,1.0
92.0,74.0,9.0,1.0
89.0,64.0,11.0,1.0
103.0,72.0,11.0,2.0
76.0,79.0,11.0,1.0
88.0,70.0,8.0,1.0
95.0,71.0,10.0,1.0
75.0,67.0,8.0,1.0
74.0,54.0,7.0,1.0
53.0,43.0,6.0,1.0
51.0,38.0,4.0,1.0
57.0,38.0,5.0,0.0
51.0,31.0,4.0,0.0
50.0,40.0,4.0,0.0
56.0,35.0,8.0,1.0
62.0,43.0,8.0,0.0
63.0,57.0,6.0,1.0
67.0,51.0,8.0,1.0
76.0,39.0,8.0,0.0
82.0,57.0,8.0,1.0
72.0,50.0,7.0,1.0
92.0,68.0,9.0,0.0
86.0,75.0,10.0,1.0
86.0,48.0,7.0,1.0
83.0,69.0,9.0,1.0
88.0,74.0,11.0,1.0
97.0,65.0,10.0,1.0
82.0,69.0,10.0,1.0
75.0,64.0,8.0,1.0
84.0,80.0,10.0,1.0
73.0,71.0,10.0,-0.0
74.0,67.0,7.0,1.0
62.0,42.0,6.0,1.0
48.0,39.0,6.0,1.0
53.0,31.0,5.0,1.0
54.0,42.0,5.0,0.0
49.0,30.0,6.0,-0.0
63.0,50.0,6.0,0.0
61.0,40.0,8.0,0.0
65.0,45.0,8.0,0.0
63.0,56.0,8.0,1.0
76.0,52.0,8.0,0.0
83.0,60.0,7.0,1.0
72.0,49.0,7.0,1.0
84.0,67.0,10.0,0.0
88.0,70.0,10.0,1.0
82.0,57.0,8.0,1.0
87.0,71.0,9.0,1.0
90.0,64.0,11.0,1.0
85.0,69.0,10.0,1.0
75.0,69.0,11.0,1.0
86.0,67.0,8.0,1.0
85.0,82.0,10.0,1.0
78.0,76.0,10.0,0.0
71.0,59.0,6.0,1.0
59.0,57.0,8.0,1.0
51.0,37.0,6.0,1.0
52.0,32.0,5.0,1.0
38.0,32.0,5.0,0.0
54.0,36.0,5.0,-0.0
69.0,43.0,6.0,0.0
63.0,44.0,7.0,0.0
72.0,44.0,7.0,0.0
63.0,49.0,8.0,1.0
75.0,50.0,10.0,0.0
85.0,62.0,7.0,1.0
69.0,47.0,7.0,1.0
86.0,68.0,9.0,-0.0
88.0,74.0,10.0,1.0
83.0,52.0,8.0,1.0
88.0,66.0,9.0,1.0
82.0,69.0,11.0,1.0
93.0,63.0,9.0,1.0
70.0,74.0,10.0,1.0
79.0,61.0,7.0,1.0
86.0,84.0,9.0,1.0
68.0,78.0,8.0,0.0
64.0,57.0,7.0,1.0
62.0,47.0,8.0,1.0
48.0,32.0,6.0,1.0
48.0,27.0,6.0,1.0
35.0,30.0,5.0,0.0
44.0,47.0,5.0,-0.0
58.0,51.0,7.0,0.0
54.0,46.0,5.0,0.0
72.0,51.0,7.0,1.0
63.0,50.0,10.0,1.0
61.0,43.0,8.0,0.0
88.0,64.0,9.0,1.0
69.0,50.0,7.0,1.0
86.0,69.0,9.0,0.0
83.0,66.0,10.0,1.0
83.0,54.0,8.0,1.0
87.0,70.0,9.0,0.0
91.0,68.0,10.0,1.0
86.0,69.0,9.0,1.0
71.0,70.0,9.0,1.0
74.0,63.0,8.0,1.0
86.0,85.0,9.0,1.0
77.0,70.0,7.0,1.0
66.0,56.0,7.0,1.0
58.0,33.0,9.0,1.0
44.0,45.0,7.0,1.0
56.0,35.0,7.0,1.0
48.0,37.0,6.0,1.0
51.0,60.0,5.0,0.0
45.0,41.0,5.0,-0.0
60.0,48.0,7.0,0.0
67.0,63.0,6.0,1.0
57.0,42.0,8.0,0.0
75.0,53.0,9.0,-0.0
86.0,53.0,9.0,1.0
74.0,44.0,7.0,1.0
91.0,76.0,9.0,0.0
84.0,74.0,9.0,1.0
83.0,51.0,8.0,1.0
84.0,74.0,9.0,1.0
90.0,62.0,11.0,1.0
95.0,67.0,9.0,1.0
71.0,70.0,10.0,1.0
78.0,52.0,6.0,1.0
79.0,87.0,10.0,1.0
72.0,50.0,8.0,0.0
80.0,53.0,7.0,1.0
59.0,52.0,10.0,0.0
50.0,30.0,6.0,1.0
57.0,29.0,6.0,1.0
49.0,19.0,8.0,1.0
40.0,44.0,7.0,1.0
48.0,56.0,6.0,0.0
40.0,44.0,5.0,-0.0
63.0,56.0,6.0,-0.0
73.0,62.0,7.0,0.0
81.0,46.0,9.0,1.0
89.0,52.0,9.0,0.0
66.0,46.0,6.0,1.0
87.0,73.0,12.0,1.0
87.0,71.0,11.0,1.0
78.0,42.0,7.0,1.0
80.0,69.0,10.0,0.0
90.0,67.0,10.0,1.0
90.0,64.0,8.0,1.0
71.0,72.0,10.0,1.0
79.0,62.0,7.0,1.0
82.0,86.0,9.0,1.0
71.0,60.0,7.0,0.0
77.0,43.0,7.0,1.0
63.0,47.0,9.0,1.0
46.0,39.0,6.0,1.0
44.0,22.0,7.0,2.0
48.0,19.0,8.0,1.0
39.0,26.0,5.0,1.0
34.0,38.0,5.0,1.0
53.0,64.0,5.0,-1.0
38.0,41.0,5.0,0.0
65.0,59.0,8.0,0.0
74.0,56.0,5.0,0.0
86.0,45.0,8.0,1.0
69.0,42.0,6.0,1.0
73.0,74.0,8.0,0.0
97.0,68.0,12.0,2.0
76.0,56.0,8.0,2.0
83.0,69.0,9.0,0.0
83.0,60.0,11.0,1.0
95.0,56.0,9.0,1.0
71.0,68.0,10.0,1.0
79.0,51.0,7.0,1.0
83.0,75.0,9.0,1.0
62.0,58.0,7.0,0.0
79.0,56.0,7.0,1.0
63.0,29.0,9.0,1.0
54.0,42.0,5.0,1.0
46.0,42.0,7.0,1.0
39.0,13.0,9.0,1.0
49.0,25.0,6.0,1.0
51.0,19.0,5.0,1.0
42.0,60.0,5.0,1.0
49.0,59.0,9.0,-1.0
43.0,48.0,4.0,0.0
61.0,52.0,7.0,0.0
78.0,75.0,10.0,1.0
67.0,51.0,8.0,1.0
97.0,76.0,9.0,1.0
86.0,59.0,13.0,1.0
80.0,60.0,10.0,1.0
90.0,68.0,9.0,0.0
91.0,57.0,9.0,1.0
88.0,66.0,10.0,1.0
71.0,65.0,9.0,1.0
73.0,58.0,7.0,1.0
79.0,82.0,9.0,1.0
63.0,59.0,8.0,0.0
69.0,40.0,7.0,1.0
54.0,39.0,8.0,1.0
58.0,34.0,8.0,0.0
63.0,31.0,8.0,1.0
52.0,62.0,6.0,-0.0
40.0,32.0,8.0,2.0
42.0,44.0,8.0,0.0
49.0,32.0,4.0,2.0
14.0,66.0,6.0,-0.0
58.0,87.0,11.0,-1.0
54.0,51.0,6.0,-0.0
72.0,66.0,7.0,0.0
73.0,67.0,4.0,1.0
90.0,53.0,10.0,1.0
90.0,51.0,12.0,1.0
72.0,60.0,5.0,1.0
93.0,80.0,11.0,1.0
90.0,63.0,12.0,2.0
89.0,59.0,9.0,1.0
67.0,60.0,10.0,1.0
79.0,55.0,6.0,0.0
82.0,80.0,9.0,1.0
62.0,57.0,7.0,0.0
74.0,49.0,7.0,1.0
54.0,37.0,9.0,1.0
59.0,36.0,7.0,0.0
65.0,21.0,9.0,0.0
60.0,51.0,8.0,0.0
45.0,59.0,6.0,1.0
31.0,46.0,11.0,2.0
38.0,48.0,9.0,1.0
50.0,53.0,5.0,1.0
35.0,65.0,4.0,-0.0
71.0,133.0,13.0,-3.0
55.0,70.0,8.0,-0.0
59.0,49.0,8.0,1.0
78.0,91.0,10.0,1.0
87.0,54.0,10.0,1.0
89.0,57.0,6.0,1.0
84.0,59.0,10.0,1.0
96.0,65.0,14.0,1.0
97.0,62.0,10.0,2.0
74.0,62.0,9.0,1.0
74.0,54.0,8.0,1.0
82.0,69.0,9.0,1.0
64.0,58.0,6.0,-0.0
72.0,42.0,7.0,1.0
57.0,31.0,9.0,1.0
58.0,31.0,8.0,0.0
67.0,32.0,9.0,1.0
75.0,24.0,8.0,-0.0
69.0,40.0,8.0,1.0
36.0,66.0,10.0,0.0
29.0,48.0,14.0,1.0
31.0,49.0,10.0,2.0
51.0,48.0,3.0,2.0
45.0,114.0,8.0,-1.0
83.0,113.0,16.0,-2.0
69.0,86.0,9.0,0.0
77.0,75.0,10.0,0.0
94.0,101.0,9.0,1.0
88.0,37.0,7.0,0.0
103.0,73.0,9.0,1.0
91.0,63.0,13.0,1.0
94.0,68.0,11.0,1.0
81.0,63.0,10.0,2.0
74.0,47.0,6.0,1.0
78.0,73.0,9.0,1.0
58.0,55.0,7.0,0.0
75.0,47.0,7.0,1.0
55.0,36.0,8.0,1.0
57.0,27.0,8.0,0.0
73.0,18.0,10.0,1.0
68.0,29.0,10.0,1.0
89.0,37.0,7.0,-0.0
57.0,74.0,12.0,-0.0
36.0,74.0,12.0,1.0
33.0,70.0,9.0,2.0
55.0,32.0,10.0,1.0
68.0,60.0,5.0,1.0
70.0,112.0,6.0,-0.0
78.0,118.0,14.0,-0.0
71.0,78.0,9.0,1.0
67.0,68.0,10.0,-0.0
78.0,80.0,6.0,1.0
93.0,52.0,9.0,1.0
85.0,59.0,10.0,1.0
80.0,69.0,8.0,1.0
104.0,74.0,11.0,1.0
84.0,54.0,9.0,1.0
82.0,76.0,8.0,1.0
61.0,53.0,7.0,0.0
79.0,45.0,6.0,1.0
52.0,29.0,9.0,1.0
58.0,20.0,8.0,0.0
74.0,24.0,10.0,1.0
70.0,15.0,9.0,1.0
84.0,38.0,7.0,0.0
53.0,42.0,12.0,-1.0
61.0,51.0,15.0,-0.0
34.0,96.0,9.0,1.0
34.0,66.0,7.0,1.0
97.0,59.0,12.0,0.0
95.0,56.0,3.0,1.0
77.0,111.0,3.0,0.0
70.0,110.0,12.0,-1.0
71.0,70.0,7.0,2.0
69.0,68.0,8.0,0.0
81.0,110.0,12.0,1.0
88.0,48.0,9.0,0.0
107.0,68.0,7.0,1.0
83.0,77.0,12.0,1.0
88.0,55.0,11.0,1.0
98.0,75.0,9.0,2.0
56.0,44.0,8.0,0.0
64.0,43.0,8.0,1.0
47.0,30.0,10.0,1.0
60.0,21.0,8.0,0.0
75.0,31.0,9.0,1.0
69.0,25.0,9.0,0.0
95.0,29.0,6.0,0.0
51.0,58.0,11.0,-0.0
61.0,34.0,13.0,-0.0
54.0,83.0,11.0,0.0
51.0,95.0,10.0,1.0
72.0,83.0,11.0,1.0
108.0,84.0,11.0,1.0
105.0,54.0,2.0,2.0
103.0,110.0,6.0,1.0
80.0,92.0,15.0,0.0
69.0,69.0,8.0,2.0
71.0,75.0,11.0,-0.0
99.0,111.0,9.0,1.0
94.0,35.0,7.0,-0.0
95.0,60.0,9.0,1.0
79.0,59.0,10.0,1.0
100.0,73.0,9.0,1.0
73.0,44.0,8.0,1.0
64.0,41.0,9.0,1.0
49.0,24.0,10.0,1.0
58.0,25.0,8.0,0.0
72.0,28.0,10.0,1.0
78.0,24.0,9.0,1.0
82.0,29.0,8.0,0.0
61.0,40.0,10.0,-0.0
53.0,41.0,12.0,-0.0
56.0,49.0,10.0,0.0
73.0,80.0,11.0,0.0
76.0,98.0,13.0,1.0
104.0,108.0,13.0,1.0
135.0,72.0,10.0,0.0
121.0,76.0,2.0,1.0
85.0,97.0,10.0,0.0
64.0,91.0,17.0,1.0
78.0,58.0,5.0,1.0
62.0,66.0,11.0,-0.0
86.0,102.0,8.0,0.0
96.0,51.0,7.0,0.0
82.0,47.0,7.0,1.0
80.0,82.0,6.0,1.0
86.0,64.0,8.0,0.0
84.0,38.0,8.0,2.0
48.0,14.0,8.0,1.0
48.0,20.0,9.0,0.0
74.0,22.0,10.0,1.0
72.0,17.0,9.0,1.0
79.0,34.0,7.0,-0.0
60.0,42.0,11.0,-1.0
57.0,31.0,12.0,0.0
46.0,69.0,11.0,1.0
58.0,48.0,10.0,-0.0
88.0,100.0,14.0,0.0
67.0,109.0,10.0,2.0
97.0,83.0,10.0,3.0
143.0,81.0,14.0,1.0
115.0,80.0,6.0,2.0
82.0,80.0,9.0,1.0
89.0,123.0,12.0,-1.0
79.0,79.0,9.0,1.0
59.0,63.0,11.0,-0.0
79.0,122.0,10.0,0.0
95.0,22.0,5.0,0.0
91.0,78.0,8.0,1.0
74.0,59.0,7.0,-0.0
90.0,32.0,8.0,1.0
45.0,15.0,7.0,2.0
49.0,7.0,8.0,1.0
66.0,15.0,10.0,1.0
62.0,17.0,9.0,0.0
85.0,35.0,7.0,0.0
61.0,45.0,11.0,-0.0
51.0,34.0,12.0,-0.0
60.0,63.0,9.0,0.0
46.0,73.0,9.0,1.0
86.0,67.0,13.0,1.0
98.0,94.0,12.0,1.0
96.0,100.0,10.0,2.0
99.0,74.0,13.0,2.0
136.0,81.0,17.0,2.0
107.0,57.0,7.0,3.0
88.0,125.0,9.0,-0.0
109.0,151.0,19.0,-2.0
81.0,111.0,11.0,0.0
51.0,61.0,9.0,-1.0
78.0,101.0,7.0,1.0
83.0,17.0,6.0,0.0
